"","Soil","Microsite","Temperature","Resp","COU","NAM","Lat_decimal","Long_decimal","ELE_1","MAT","RAI","SAC","CLC","SIC","pH","SOC","CFE","SIR","BACT_qPCR"
"48",8,1,30,5.463499056,"Argentina","Médanos Negros",-31.390807,-66.970198,439,19.5,324,77.08106486,2.882363585,20.03657155,8.658,0.329787133,786.4,2.971015,NA
"49",9,0,10,2.384067287,"Australia","KP2",-34.204296,142.556909,82,16.9,318,76.28210067,2.91369005,20.80420927,7.194,1.337806386,564.1,2.984036,1435932118
"50",9,0,20,3.165269834,"Australia","KP2",-34.204296,142.556909,82,16.9,318,76.28210067,2.91369005,20.80420927,7.194,1.337806386,564.1,2.984036,1435932118
"51",9,0,30,8.701753334,"Australia","KP2",-34.204296,142.556909,82,16.9,318,76.28210067,2.91369005,20.80420927,7.194,1.337806386,564.1,2.984036,1435932118
"52",9,1,10,2.287596071,"Australia","KP2",-34.204296,142.556909,82,16.9,318,78.51193781,4.830649639,16.65741255,7.628,2.251534003,552.3,3.248001,2295367653
"53",9,1,20,3.2178983,"Australia","KP2",-34.204296,142.556909,82,16.9,318,78.51193781,4.830649639,16.65741255,7.628,2.251534003,552.3,3.248001,2295367653
"54",9,1,30,4.074108117,"Australia","KP2",-34.204296,142.556909,82,16.9,318,78.51193781,4.830649639,16.65741255,7.628,2.251534003,552.3,3.248001,2295367653
"55",10,0,10,2.110027306,"Australia","KR2",-34.24777,142.481679,69,17,312,72.19738367,4.8407573,22.96185903,6.812,0.684772343,627.5,2.821416,1219758706
"56",10,0,20,3.033351132,"Australia","KR2",-34.24777,142.481679,69,17,312,72.19738367,4.8407573,22.96185903,6.812,0.684772343,627.5,2.821416,1219758706
"57",10,0,30,6.51811084,"Australia","KR2",-34.24777,142.481679,69,17,312,72.19738367,4.8407573,22.96185903,6.812,0.684772343,627.5,2.821416,1219758706
"58",10,1,10,2.058337816,"Australia","KR2",-34.24777,142.481679,69,17,312,79.35807157,4.086002517,16.55592592,6.744,1.12807816,845.3,2.735943,1430992714
"59",10,1,20,2.78286031,"Australia","KR2",-34.24777,142.481679,69,17,312,79.35807157,4.086002517,16.55592592,6.744,1.12807816,845.3,2.735943,1430992714
"60",10,1,30,8.036943486,"Australia","KR2",-34.24777,142.481679,69,17,312,79.35807157,4.086002517,16.55592592,6.744,1.12807816,845.3,2.735943,1430992714
"61",11,0,10,2.095668558,"Australia","LG1",-34.018527,142.508839,86,17.1,308,69.36096425,13.72432208,16.91471367,8.038,1.275171915,521.2,2.44068,1983848611
"62",11,0,20,2.449466296,"Australia","LG1",-34.018527,142.508839,86,17.1,308,69.36096425,13.72432208,16.91471367,8.038,1.275171915,521.2,2.44068,1983848611
"63",11,0,30,5.210194804,"Australia","LG1",-34.018527,142.508839,86,17.1,308,69.36096425,13.72432208,16.91471367,8.038,1.275171915,521.2,2.44068,1983848611
"64",11,1,10,1.991340243,"Australia","LG1",-34.018527,142.508839,86,17.1,308,73.8699717,8.975898448,17.15412986,7.398,1.364711865,976.7,2.720693,1611544011
"65",11,1,20,2.675182498,"Australia","LG1",-34.018527,142.508839,86,17.1,308,73.8699717,8.975898448,17.15412986,7.398,1.364711865,976.7,2.720693,1611544011
"66",11,1,30,5.588499514,"Australia","LG1",-34.018527,142.508839,86,17.1,308,73.8699717,8.975898448,17.15412986,7.398,1.364711865,976.7,2.720693,1611544011
"67",12,0,10,1.845176339,"Australia","WG1",-33.960183,142.460103,103,17,312,81.32963989,2.603878116,16.06648199,7.272,0.607587144,957.3,3.345345,105422795.1
"68",12,0,20,2.719908258,"Australia","WG1",-33.960183,142.460103,103,17,312,81.32963989,2.603878116,16.06648199,7.272,0.607587144,957.3,3.345345,105422795.1
"69",12,0,30,4.875256872,"Australia","WG1",-33.960183,142.460103,103,17,312,81.32963989,2.603878116,16.06648199,7.272,0.607587144,957.3,3.345345,105422795.1
"70",12,1,10,2.263478713,"Australia","WG1",-33.960183,142.460103,103,17,312,86.29570959,6.614527368,7.089763047,7.082,1.020585139,851.6,5.267199,3354517282
"71",12,1,20,3.637784939,"Australia","WG1",-33.960183,142.460103,103,17,312,86.29570959,6.614527368,7.089763047,7.082,1.020585139,851.6,5.267199,3354517282
"72",12,1,30,8.466992692,"Australia","WG1",-33.960183,142.460103,103,17,312,86.29570959,6.614527368,7.089763047,7.082,1.020585139,851.6,5.267199,3354517282
"73",13,0,10,1.9719763,"Australia","WG3",-33.970467,142.664702,87,17.1,311,71.9472166,5.617629831,22.43515356,7.99,0.98572501,833.2,5.714411,NA
"74",13,0,20,5.447784196,"Australia","WG3",-33.970467,142.664702,87,17.1,311,71.9472166,5.617629831,22.43515356,7.99,0.98572501,833.2,5.714411,NA
"75",13,0,30,7.373943656,"Australia","WG3",-33.970467,142.664702,87,17.1,311,71.9472166,5.617629831,22.43515356,7.99,0.98572501,833.2,5.714411,NA
"76",13,1,10,2.325603798,"Australia","WG3",-33.970467,142.664702,87,17.1,311,73.33554891,7.388944278,19.27550681,7.772,1.886939947,763.9,6.083583,NA
"77",13,1,20,4.284118054,"Australia","WG3",-33.970467,142.664702,87,17.1,311,73.33554891,7.388944278,19.27550681,7.772,1.886939947,763.9,6.083583,NA
"78",13,1,30,8.275163996,"Australia","WG3",-33.970467,142.664702,87,17.1,311,73.33554891,7.388944278,19.27550681,7.772,1.886939947,763.9,6.083583,NA
"79",14,0,10,2.7055301,"Australia","WR2",-33.931135,142.686154,91,17.1,312,75.4528835,2.609273724,21.93784278,7.806,1.094032582,938.3,4.353518,1058331521
"80",14,0,20,5.316668018,"Australia","WR2",-33.931135,142.686154,91,17.1,312,75.4528835,2.609273724,21.93784278,7.806,1.094032582,938.3,4.353518,1058331521
"81",14,0,30,10.70026161,"Australia","WR2",-33.931135,142.686154,91,17.1,312,75.4528835,2.609273724,21.93784278,7.806,1.094032582,938.3,4.353518,1058331521
